uid,image,group,gingiva_mask_iou,gingiva_boundary_iou,gingiva_n_columns_gt,gingiva_n_columns_pred,gingiva_n_columns_both,gingiva_columns_missed_frac,gingiva_columns_spurious_frac,gingiva_top_edge_mae_px,gingiva_top_edge_median_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_median_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,lip_mask_iou,lip_boundary_iou
high/IMG_2574_jpeg,IMG_2574_jpeg,high,0.8616461565899768,0.4225906825945993,1121,1104,1094,0.02408563782337199,0.009057971014492754,2.8756855575868374,2.0,0.8537477148080439,9.99908592321755,6.0,-7.43053016453382,10.244058500914077,0.849064919002296,0.2277276103357961
high/IMG_2695_jpg,IMG_2695_jpg,high,0.8888822971048884,0.5347549932403133,1166,1150,1150,0.0137221269296741,0.0,1.4808695652173913,1.0,0.3208695652173913,6.475652173913043,5.0,-0.7626086956521739,6.067826086956522,0.8870259856890408,0.36143636133068435
high/IMG_2718-_jpg,IMG_2718-_jpg,high,0.7849680992778518,0.34264285297379327,896,864,864,0.03571428571428571,0.0,3.3171296296296298,3.0,1.5648148148148149,10.630787037037036,9.0,-9.447916666666666,12.721064814814815,0.7295463449032359,0.2934632333880584
high/IMG_2739-_jpg,IMG_2739-_jpg,high,0.8412876949124448,0.35883405240450383,939,935,931,0.008519701810436636,0.0042780748663101605,6.499462943071966,6.0,-4.770139634801289,7.763694951664877,6.0,-2.343716433941998,10.07626208378088,0.8756489262371615,0.3563904929490198
high/IMG_2969_jpg,IMG_2969_jpg,high,0.7691785917465319,0.38982566447556444,889,764,764,0.140607424071991,0.0,3.636125654450262,3.0,1.856020942408377,6.301047120418848,5.0,-1.931937172774869,8.034031413612565,0.8844679758188787,0.3677999160556008
high/IMG_3059_jpg,IMG_3059_jpg,high,0.8530852688577265,0.4492394366197183,791,778,778,0.01643489254108723,0.0,3.8881748071979434,3.0,0.5848329048843187,5.420308483290489,5.0,2.345758354755784,5.5681233933161955,0.8714764861200314,0.5101770278107652
high/IMG_3105_jpg,IMG_3105_jpg,high,0.7397335080821319,0.4186144303886183,936,812,812,0.13247863247863248,0.0,3.6908866995073892,3.0,-2.66871921182266,5.795566502463054,5.0,1.1379310344827587,7.481527093596059,0.9145441405137864,0.5520504731861199
high/IMG_3172_jpg,IMG_3172_jpg,high,0.818773607650888,0.4038708738570493,1001,1005,997,0.003996003996003996,0.007960199004975124,3.18555667001003,2.0,2.5937813440320965,10.04012036108325,7.0,5.723169508525577,8.561685055165496,0.8823315595969468,0.29175695949324887
high/IMG_3595-_jpg,IMG_3595-_jpg,high,0.8321118502649678,0.34507237955688047,1063,1042,1042,0.01975540921919097,0.0,5.030710172744722,3.0,-4.226487523992322,7.379078694817658,6.0,2.430902111324376,9.876199616122841,0.8306178073894609,0.33803868340685445
high/IMG_3792-_jpg,IMG_3792-_jpg,high,0.8679199076395611,0.4036537984624287,1044,1022,1022,0.0210727969348659,0.0,5.904109589041096,5.0,-2.6418786692759295,4.554794520547945,3.0,1.2338551859099804,8.374755381604697,0.7816578830714672,0.5091441111923921
high/IMG_3811-_jpg,IMG_3811-_jpg,high,0.8465126681363622,0.29502844170089026,965,972,963,0.002072538860103627,0.009259259259259259,6.256490134994808,6.0,-4.682242990654205,8.333333333333334,7.0,4.522326064382139,11.921079958463135,0.8550445000695314,0.33751962323390894
high/IMG_3866-_jpg,IMG_3866-_jpg,high,0.6623623441201739,0.355456501690747,865,791,791,0.08554913294797688,0.0,3.245259165613148,3.0,0.03413400758533502,11.809102402022756,11.0,-3.5259165613147916,12.487989886219975,0.8056654293190532,0.29650435480444687
high/IMG_6545-_jpg,IMG_6545-_jpg,high,0.8300141007969327,0.39800995024875624,848,875,848,0.0,0.030857142857142857,3.318396226415094,3.0,-2.0377358490566038,8.764150943396226,7.0,4.785377358490566,10.294811320754716,0.873173522405417,0.3992434051844517
high/IMG_6586-_jpg,IMG_6586-_jpg,high,0.7938839069967245,0.48229994324631104,901,814,814,0.09655937846836848,0.0,2.6965601965601964,3.0,-0.581081081081081,5.895577395577396,5.0,0.5245700245700246,7.034398034398034,0.9097455938357984,0.3837102541799555
high/IMG_6591-_jpg,IMG_6591-_jpg,high,0.8393922530380877,0.3301285261225171,813,809,809,0.004920049200492005,0.0,9.063040791100123,6.0,7.510506798516687,6.255871446229913,5.0,-1.0222496909765142,11.363411619283065,0.8420346262246678,0.32554842161583736
high/IMG_6724_jpg,IMG_6724_jpg,high,0.7719285572390876,0.3732753574713605,899,870,860,0.04338153503893215,0.011494252873563218,2.8104651162790697,3.0,2.438372093023256,11.054651162790698,9.0,-2.263953488372093,12.425581395348837,0.8607832921829343,0.24165767224320922
high/IMG_6855-_jpg,IMG_6855-_jpg,high,0.8699299817069325,0.3819497684688276,924,812,811,0.12229437229437229,0.0012315270935960591,6.0715166461159065,4.0,2.8360049321824907,9.023427866831073,6.0,5.6325524044389645,7.718865598027127,0.7820866367919108,0.24052950910093768
high/IMG_7276_jpg,IMG_7276_jpg,high,0.8173688291548203,0.3419316434346942,1027,1018,1018,0.008763388510223954,0.0,5.673870333988212,6.0,3.848722986247544,7.982318271119843,6.0,1.862475442043222,10.347740667976424,0.8754016924642494,0.29947436370343045
high/IMG_7285_jpg,IMG_7285_jpg,high,0.8755737424343795,0.48932000783852636,956,933,933,0.02405857740585774,0.0,2.714898177920686,2.0,1.9517684887459807,5.438370846730975,4.0,-0.4908896034297964,6.52411575562701,0.901898154208666,0.42058536055603823
high/IMG_7347_jpg,IMG_7347_jpg,high,0.8379219990126457,0.48249896850501994,873,819,811,0.07101947308132875,0.009768009768009768,3.283600493218249,3.0,-1.2688039457459925,6.410604192355117,4.0,2.879161528976572,7.048088779284834,0.8956446240284515,0.3639866426920113
high/IMG_8560_jpg,IMG_8560_jpg,high,0.8685269028233876,0.5391830877463162,855,858,855,0.0,0.0034965034965034965,2.191812865497076,2.0,1.288888888888889,5.752046783625731,5.0,1.817543859649123,5.277192982456141,0.8699247071946459,0.4567056363463549
high/IMG_8564_jpg,IMG_8564_jpg,high,0.8234165775203807,0.43627017647251415,854,879,853,0.00117096018735363,0.02957906712172924,3.623681125439625,3.0,-2.212192262602579,6.5568581477139505,5.0,1.3048065650644782,8.881594372801876,0.8256054447944975,0.40627973358705993
high/IMG_8575_jpg,IMG_8575_jpg,high,0.8665337987381218,0.3787450537026569,954,953,953,0.0010482180293501049,0.0,6.088142707240293,6.0,-3.8845750262329486,6.843651626442812,5.0,0.36306400839454356,6.9569779643231895,0.8220160773142832,0.12568315932818883
